,SA12018_code,averge_room,Male,Female,Average Age,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Median personal income($),Employed Full time,Employed Part time,Unemployed,Paid employee,Employer,Self employed and without employees,Unpaid family worker,median_CV,median_FA,median_AR,median_bed,median_Bath,median_Price,median_school,weighted_weapon,weighted_crime,Number_of_happens,Number of Victimisations
59,7001226,3.066666666666667,0.547169811,0.452830189,34.14285714,0.671641791,0.164179104,0.089552239,0.059701493,0.014925373,0.0,0.0,0.0,27600,0.388888889,0.111111111,0.0,0.462962963,0.018518519,65,0.0,-0.3846984935672146,-0.016600874408436276,0.006824393536826819,-0.44485964553967455,-0.7521814178507827,12.712890247898626,2.0,0.06666666666666667,1.9411764705882353,33,33
60,7001227,3.4285714285714284,0.53164557,0.46835443,40.2,0.866666667,0.077777778,0.033333333,0.011111111,0.011111111,0.0,0.0,0.0,38700,0.336842105,0.157894737,0.021052632,0.242105263,0.084210526,452,0.042105263,-0.5717795043126662,-0.22419025855173683,1.9871821664482154,-0.44485964553967455,-0.7521814178507827,12.261843332896628,2.0,0.0,0.5294117647058824,9,11
61,7001228,3.25,0.514285714,0.485714286,37.13888889,0.868421053,0.078947368,0.052631579,0.0,0.0,0.0,0.0,0.0,32600,0.361111111,0.166666667,0.0,0.277777778,0.055555556,490,0.0,-0.3015513776803472,-0.1411545048944166,8.525789041576404,-0.44485964553967455,1.0346855864585136,13.036805489042683,2.0,0.0,0.3529411764705882,6,6
62,7001229,3.7142857142857135,0.541666667,0.458333333,39.34042553,0.882352941,0.078431373,0.0,0.039215686,0.0,0.0,0.0,0.0,40700,0.307692308,0.192307692,0.0,0.25,0.096153846,485,0.019230769,-0.031323251048028106,-0.639369026838338,5.947897712270992,1.2660395144864578,-0.7521814178507827,13.251635713108469,2.0,0.0,0.35294117647058826,6,6
63,7001233,3.321428571428572,0.486842105,0.513157895,39.97297297,0.772727273,0.068181818,0.034090909,0.056818182,0.011363636,0.022727273,0.022727273,0.011363636,37500,0.329268293,0.146341463,0.036585366,0.292682927,0.048780488,483,0.012195122,0.6338536760469111,0.39857789387816484,0.5029417041208564,-0.44485964553967455,1.0346855864585136,13.440089571204487,2.0,0.0,1.7647058823529411,30,30
64,7001234,3.0,0.486486486,0.513513514,57.97222222,0.923076923,0.025641026,0.025641026,0.025641026,0.0,0.0,0.0,0.0,31700,0.333333333,0.151515152,0.03030303,0.242424242,0.090909091,462,0.03030303,0.23890487558429094,-0.016600874408436276,0.47553190795599287,-0.44485964553967455,1.0346855864585136,13.106233995474446,2.0,0.0,0.058823529411764705,1,1
65,7001235,3.75,0.476190476,0.523809524,48.75,0.857142857,0.095238095,0.0,0.047619048,0.0,0.0,0.0,0.0,37400,0.357142857,0.107142857,0.035714286,0.214285714,0.107142857,492,0.035714286,-1.2785299893510391,-1.2621371792682394,3.120577237865321,-2.155758805565807,-0.7521814178507827,11.608235644774552,2.0,0.0,0.1764705882352941,3,3
66,7001236,3.5294117647058822,0.511627907,0.488372093,49.3255814,0.833333333,0.020833333,0.020833333,0.020833333,0.020833333,0.041666667,0.041666667,0.0,36100,0.346153846,0.153846154,0.019230769,0.230769231,0.019230769,522,0.057692308,-0.3431249356237809,-0.4317796426950374,0.29188627365140724,-0.44485964553967455,-0.7521814178507827,12.863592648446968,2.0,0.0,0.058823529411764705,1,1
67,7001238,3.1666666666666665,0.526315789,0.473684211,45.61111111,0.794871795,0.051282051,0.076923077,0.025641026,0.0,0.025641026,0.025641026,0.0,31200,0.346938776,0.163265306,0.0,0.285714286,0.081632653,419,0.020408163,1.4237512769721514,-0.286467073794727,5.581976933470064,-0.44485964553967455,-0.7521814178507827,14.037853789107714,2.0,0.0,0.058823529411764705,1,1
68,7001242,2.6666666666666665,0.5,0.5,53.72413793,0.866666667,0.1,0.0,0.033333333,0.0,0.0,0.0,0.0,25100,0.318181818,0.136363636,0.090909091,0.227272727,0.045454545,527,0.0,-0.5717795043126662,-0.8469584109816386,0.2398076609381666,-0.44485964553967455,-0.7521814178507827,12.601487417784837,2.0,0.0,0.11764705882352941,2,2
69,7001243,3.727272727272727,0.5,0.5,52.52083333,0.862745098,0.098039216,0.039215686,0.0,0.0,0.0,0.0,0.0,37000,0.357142857,0.142857143,0.0,0.166666667,0.119047619,530,0.023809524,-0.17683070385004607,-0.016600874408436276,-0.10829675035559977,-0.44485964553967455,-0.7521814178507827,13.06685066747407,2.0,0.0,0.058823529411764705,1,1
